"","Sample","Joint.Location","Pathotype","Seropositivity","GCTreatment","Protocol","Sex","Age"
"LINC01134",0.0717545245749962,0.00368550833020898,0.0154169359263157,0.0250748737911199,0.012568746606334,0.0169284111351864,0.0190012313896037,0.0119354884171585
"LINC02780",0.0495004761286388,0.00142303663173138,0.00067124436657906,0.00200037265044584,0.000662345164192946,0.00728714972011435,0.00116729810644145,0.00156312892256594
"AL805961.1",0.0607376308350061,0.00315236070472791,0.00463822197528385,0.00240979123813378,0.000915692778646893,0.00256423290462271,0.00204107906726092,0.000129428101114382
"AJAP1",1.10685710022704,0.102317670859808,0.173938195307588,0.00485691184201054,0.0491664992675278,0.0942117924705665,0.0481412762928013,0.116745361290838
"Z98886.1",0.0294999588690725,0.00296925444185359,0.0140909774933085,0.00204852696427116,0.000576721803380309,0.000159854812009641,0.00630658576178389,0.000799641567872378
"AL365255.1",0.120601921161612,0.0117309732285853,0.00310315107836523,0.022350485411371,0.0111642065980355,0.0141742456224447,0.0111328480276951,0.00302421329879676
"NPHP4",0.619914150039957,0.0251536349255455,0.236132826287505,0.00715166387411648,0.0783821363547044,0.0141076284581487,0.0508730801580648,0.0164722206186241
"KCNAB2",3.01673002476819,0.79158102017568,0.021542307831246,0.00548694700388541,0.230649372026581,0.132294692288581,0.0565855750233824,0.0813548088140159
"CHD5",0.0737955648813515,0.00917402954059288,0.00332852618227797,0.000725393105249772,0.0176201761858952,0.0135062408236242,0.000416253148438628,0.0143686134551291
"RPL22",6.84881209072352,1.15264419864702,0.323701105610441,0.312025425501317,0.893220201313538,0.0467358591372258,0.609404242829747,1.03777922293155
"AL031847.1",0.0374878766069786,0.00631940861839375,0.00382681590472833,0.00370239842248932,0.00179132162912987,0.000101463851198691,0.00170906675559523,0.000291245102079785
"RNF207",0.20239259646031,0.0137989341948752,0.0539643773122989,0.0100917316438354,0.000228095367249548,0.000376986382122357,0.00799530173639651,0.00100962919505898
"ICMT",1.22608072755126,0.210752708875783,0.0118470899501233,0.0334676784943255,0.103888434689969,0.0194881679323466,0.350324727962081,0.0164402690891574
"LINC00337",0.035531939526745,0.00206039850817463,0.019608796347681,0.000615247803081864,5.27575860775897e-07,0.00062774009897959,0.00288250816051772,0.000349072626337765
"GPR153",2.66102739467116,0.419512040160652,0.178792786563742,0.464336201271009,6.85290825197526e-06,0.497944343812329,0.384623796059891,0.108013433106657
"ACOT7",1.23098503616711,0.0320239120065624,0.278990419264424,0.160449811278485,0.0883189454452538,0.0704646323247737,0.359029090427743,0.146337789683337
"AL031848.2",0.059540406860259,0.0366034427245032,0.00373207162455147,9.29459437637448e-05,0.0066909645021207,0.00104402039968754,9.09837553852988e-05,0.00845305371405258
